time,Wind_speed,Wind_dir,Visibility,Temperature,dewpoint,Humidity
2021-11-03 19:00,3.20324,294.17136,29730.025,302.7564,279.26126,20.750069
2021-11-03 19:20,2.6444132,248.6642,29105.486,300.67584,286.08057,36.53745
2021-11-03 19:40,2.270073,230.77412,27362.4,296.74203,283.20563,62.769707
2021-11-03 20:00,2.471972,195.46794,26539.107,294.57434,282.60934,69.83707
2021-11-03 20:20,2.3848507,178.77313,26412.352,293.2588,282.4789,70.6875
2021-11-03 20:40,2.727549,180.46576,26716.969,292.43698,282.5019,68.4452
2021-11-03 21:00,2.4583642,190.25925,26337.709,291.51813,282.25775,71.15758
2021-11-03 21:20,2.3225696,188.10477,26228,290.90665,282.2311,71.88758
2021-11-03 21:40,1.7008512,203.95909,25363.373,290.55652,282.12823,76.34506
2021-11-03 22:00,1.7185258,215.64998,25522.203,290.20477,281.29224,75.78434
2021-11-03 22:20,2.6482923,256.24796,25609.002,289.18378,280.3205,75.43258
2021-11-03 22:40,2.1520765,252.4839,22138,288.24194,279.5796,87.31479
2021-11-03 23:00,1.4959166,248.67073,18976.008,287.62573,278.2903,92.445595
2021-11-03 23:20,1.4917452,225.04175,19553.02,287.32,277.55695,91.79033
2021-11-03 23:40,1.5171773,228.55278,19832.71,286.92355,277.20395,91.457344
2021-11-04 00:00,1.4405934,136.7895,16494.77,290.54156,278.53552,95.13471
2021-11-04 00:20,0.87429655,158.78098,17177.014,291.51825,278.40363,94.39617
2021-11-04 00:40,0.44598153,341.4155,25228,294.30774,278.9093,77.506775
2021-11-04 01:00,1.0159037,358.6329,27763.102,297.2803,279.38147,58.581383
2021-11-04 01:20,1.2950535,19.65279,28854.154,299.49597,278.6211,42.12849
2021-11-04 01:40,0.1227043,40.96302,29244.426,300.49643,277.10498,33.59375
2021-11-04 02:00,0.95689523,206.8131,29478.502,301.42392,274.8418,27.64553
2021-11-04 02:20,1.8023541,222.50108,29548.68,301.84,273.46008,25.920063
2021-11-04 02:40,2.4692223,236.96904,29532.438,301.7829,272.06537,26.177572
2021-11-04 03:00,3.0416093,248.39929,29484.355,301.25864,272.04562,27.595633
2021-11-04 03:20,2.7863142,259.78992,28980.492,299.32208,276.41403,39.203434
2021-11-04 03:40,2.400979,255.28807,27557.309,296.2478,280.92853,60.479008
2021-11-04 04:00,1.9875835,230.8866,26284.783,294.83478,280.59695,71.530594
2021-11-04 04:20,0.9185369,246.71942,22923.178,293.8203,281.11877,85.083176
2021-11-04 04:40,2.9682865,356.37836,27100,293.16443,281.8543,65.41672
2021-11-04 05:00,2.3193624,2.70292,25781,292.29706,281.49695,74.619125
2021-11-04 05:20,2.1441503,343.7802,24661.137,291.65732,281.02057,79.96314
2021-11-04 05:40,1.2729102,8.262674,22306.87,290.8817,280.43503,87.00263
2021-11-04 06:00,1.4994785,129.2307,22572,290.48062,279.65634,86.45843
2021-11-04 06:20,1.1534579,267.40298,21572.545,289.88733,279.06256,88.43293
2021-11-04 06:40,2.173604,200.92622,23402.527,289.56586,279.03476,84.27854
2021-11-04 07:00,2.0015452,179.82076,22354.28,288.84393,279.1064,86.958145
2021-11-04 07:20,2.2906249,217.675,21027.73,288.28638,278.90268,89.59784
2021-11-04 07:40,0.56526,279.45142,16003.671,287.51462,278.52417,95.2793
2021-11-04 08:00,0.99807477,110.345474,15859,287.09656,278.14346,95.56156
2021-11-04 08:20,1.4705312,224.92033,19860,288.23703,277.99963,91.30397
2021-11-04 08:40,1.5445924,269.19333,25044.467,291.3392,278.17596,78.35902
2021-11-04 09:00,1.5248566,281.4241,27772.102,294.93384,278.19336,58.458015
2021-11-04 09:20,1.3722922,277.08728,28777.934,298.09195,277.29565,43.51749
2021-11-04 09:40,1.2609617,278.27023,29434.496,300.34418,276.01572,28.881332
2021-11-04 10:00,1.8570691,276.41046,29580.527,301.21637,275.45325,24.868002
2021-11-04 10:20,2.5579002,266.56073,29605.492,301.5301,275.50955,24.315384
2021-11-04 10:40,2.9826596,268.3721,29645,301.684,275.89172,23.119797
2021-11-04 11:00,3.4125996,262.19785,29589,301.2528,276.25003,24.591068
2021-11-04 11:20,3.1956418,249.1193,29028.092,299.16812,278.76382,38.497448
2021-11-04 11:40,2.7586598,248.97691,27670.484,295.68915,282.20868,59.434532
2021-11-04 12:00,2.6054614,239.78967,26524.107,293.67654,282.11432,69.94325
2021-11-04 12:20,2.0406208,238.20805,24972.502,292.4472,282.40628,78.5243
2021-11-04 12:40,1.4892364,233.70084,22580.482,291.51385,283.3438,85.78714
2021-11-04 13:00,1.6840897,213.10262,23627.63,290.92017,282.61475,83.43188
2021-11-04 13:20,2.2456753,204.92299,24537.049,290.1591,281.96875,80.13659
2021-11-04 13:40,1.5575721,285.40134,23110.387,289.46478,281.24005,84.34264
2021-11-04 14:00,1.6240244,319.12268,21676.049,288.84518,280.58582,88.29896
2021-11-04 14:20,1.9493737,254.3058,22526.44,288.5053,280.46542,86.581566
2021-11-04 14:40,2.5070696,227.9032,23006.004,287.99762,280.28424,85.19048
2021-11-04 15:00,2.3693235,230.8232,21727.902,287.32733,280.10278,88.295975
2021-11-04 15:20,2.2170458,244.61421,18568.447,286.79785,280.0525,92.96031
2021-11-04 15:40,2.1106858,249.22913,16638.309,286.52032,279.93646,94.8968
2021-11-04 16:00,2.25888,253.52802,18024.117,286.23312,279.7077,93.66739
2021-11-04 16:20,1.7997429,258.4769,22554.557,287.21573,279.56372,86.47507
2021-11-04 16:40,2.2338116,264.19513,26652.629,290.63535,280.07904,69.06438
2021-11-04 17:00,2.4267173,267.4501,28272.648,294.44824,280.01575,51.999718
2021-11-04 17:20,2.7293975,273.3115,28982.705,297.72464,277.52002,39.381207
2021-11-04 17:40,3.0231292,270.48737,29264.703,300.0277,276.68118,33.14976
2021-11-04 18:00,3.9054668,278.59756,29560.229,301.69992,277.08936,25.524868
2021-11-04 18:20,4.2329,290.17014,29721.723,303.01047,276.61905,20.96875
2021-11-04 18:40,4.3437014,291.9868,29769.633,303.46527,276.4199,19.626936
2021-11-04 19:00,3.8362849,280.20923,29682.832,302.9225,279.26126,22.094229
2021-11-04 19:20,2.6756403,239.66548,28923.834,300.6447,286.08057,40.56422
2021-11-04 19:40,2.6674507,238.8992,27423.521,296.8098,283.20563,62.21927
2021-11-04 20:00,2.368912,240.87257,26207.943,294.71765,282.60934,72.05779
2021-11-04 20:20,2.0297537,227.16608,25221.469,293.68335,282.4789,77.43429
2021-11-04 20:40,2.1721509,234.56013,24970.787,293.02097,282.5019,78.61714
2021-11-04 21:00,2.3304937,228.51741,24616.438,291.8423,282.25775,80.06974
2021-11-04 21:20,2.6634011,233.7485,24366.016,291.03607,282.2311,81.11278
2021-11-04 21:40,2.2591913,230.81265,23311.26,290.31708,282.12823,84.490364
2021-11-04 22:00,2.272282,220.12343,23500.027,289.7365,281.29224,83.92362
2021-11-04 22:20,2.0658412,194.17867,23490.79,288.9453,280.3205,83.77339
2021-11-04 22:40,2.4435315,246.59819,24046.371,288.32568,279.5796,82.109184
2021-11-04 23:00,2.0747547,227.05074,22465.213,287.7281,278.2903,86.630394
2021-11-04 23:20,2.1797247,234.1033,21146.729,287.3751,277.55695,89.23214
2021-11-04 23:40,2.1780822,243.21875,21017.143,287.01877,277.20395,89.49391
2021-11-05 00:00,1.7884442,178.98616,13536.527,289.40454,278.53552,97.09765
2021-11-05 00:20,1.1576514,212.404,17271.97,290.12146,278.40363,94.3329
2021-11-05 00:40,1.1425452,237.26547,24399.236,292.91565,278.9093,80.976524
2021-11-05 01:00,0.96390766,236.51955,26975.145,295.9226,279.38147,66.5625
2021-11-05 01:20,1.5630106,220.80267,28583.955,298.3934,278.6211,46.92789
2021-11-05 01:40,1.6403192,223.7832,29063.084,299.4961,277.10498,37.592007
2021-11-05 02:00,2.0260158,246.26738,29316.092,300.32468,274.8418,31.84375
2021-11-05 02:20,2.9810302,258.83463,29453,300.66766,273.46008,28.427572
2021-11-05 02:40,3.2250767,256.23416,29494.072,300.59003,272.06537,27.3125
2021-11-05 03:00,3.144876,256.2167,29340.555,300.05447,272.04562,31.283932
2021-11-05 03:20,2.4200542,247.94884,28495.297,298.4373,276.41403,48.081875
2021-11-05 03:40,2.3107045,229.9234,26309.473,295.5899,280.92853,71.373276
2021-11-05 04:00,2.1724963,234.41621,25142.193,293.9325,280.59695,77.83812
2021-11-05 04:20,2.0364861,224.23311,24638.332,293.10718,281.11877,80.05259
2021-11-05 04:40,2.0358875,252.97946,24719.805,292.51105,281.8543,79.69968
2021-11-05 05:00,1.6148456,77.29872,23749.62,291.6197,281.49695,83.00618
2021-11-05 05:20,1.8428397,193.58488,23375.785,291.21478,281.02057,84.34635
2021-11-05 05:40,2.2148259,222.9617,23451.06,290.64557,280.43503,83.900024
2021-11-05 06:00,2.2661874,248.21812,21870.533,289.69452,279.65634,87.934685
2021-11-05 06:20,2.378866,239.7304,20829.93,289.17285,279.06256,89.97452
2021-11-05 06:40,2.120438,241.81381,17551.86,288.64203,279.03476,94.07831
2021-11-05 07:00,2.118238,273.23273,16560.602,288.20593,279.1064,94.96417
2021-11-05 07:20,2.0306995,257.50027,18062.615,287.68542,278.90268,93.545746
2021-11-05 07:40,1.9765192,245.73433,18762.25,287.18958,278.52417,92.61293
2021-11-05 08:00,2.1255891,246.99687,18795.416,286.8183,278.14346,92.440254
2021-11-05 08:20,1.755081,255.66495,22938.541,287.64023,277.99963,85.37522
2021-11-05 08:40,2.506818,263.37253,26605.812,290.54248,278.17596,69.16247
2021-11-05 09:00,2.8154957,270.72644,28128.062,293.9557,278.19336,53.948776
2021-11-05 09:20,3.3917801,280.96506,28822.865,297.05,277.29565,42.672596
2021-11-05 09:40,4.231438,291.78033,29351.13,299.54364,276.01572,30.947823
2021-11-05 10:00,5.1279407,315.1983,29556.385,301.1673,275.45325,25.572699
2021-11-05 10:20,5.818462,323.47214,29608.191,301.98444,275.50955,24.21875
2021-11-05 10:40,6.1070514,328.46118,29606.604,302.12097,275.89172,24.25
2021-11-05 11:00,5.394531,324.99396,29548.256,301.68414,276.25003,25.849583
2021-11-05 11:20,3.7648222,315.6668,29205.092,299.82565,278.76382,34.35043
2021-11-05 11:40,2.9057739,304.13138,28128.256,296.49774,282.20868,53.412342
2021-11-05 12:00,2.8191543,296.8525,27324.29,294.48868,282.11432,63.151
2021-11-05 12:20,2.7045965,303.5308,26870.742,293.37158,282.40628,67.233086
2021-11-05 12:40,2.9317462,311.7326,27058.166,292.54224,283.3438,65.6762
2021-11-05 13:00,2.6913245,305.26752,26772.234,291.69943,282.61475,68.02415
2021-11-05 13:20,2.4165735,296.39484,26135.062,290.94403,281.96875,72.49063
2021-11-05 13:40,2.2764645,294.60312,25723.254,290.3481,281.24005,74.98824
2021-11-05 14:00,2.3865435,295.71194,25595.254,289.72284,280.58582,75.709625
2021-11-05 14:20,2.3887916,287.91635,25130.861,289.01456,280.46542,77.92512
